course_id,title,institution,institution_abbrev,institution_type,url,qualification_level,course_code,minor_second_major,admission_type,qualification_required,jae_aggregate,description,source_file,matched_majors,matched_domains,confidence,match_method,needs_review,suggested_majors
acc-bachelor-of-accountancy,Bachelor of Accountancy,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/acc-bachelor-of-accountancy,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Accounting,Business and Economics|Mathematics and Computer Science,0.95,keyword,False,Accounting (0.0); Actuarial Science (0.0); Advertising (0.0)
lmpl-bachelor-of-arts-in-linguistics-and-multilingual-studies-and-philosophy,Bachelor of Arts in Linguistics and Multilingual Studies and Philosophy,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/lmpl-bachelor-of-arts-in-linguistics-and-multilingual-studies-and-philosophy,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Philosophy,History and Philosophy|Language and Area Studies|Politics and Social Studies,0.95,keyword,False,Linguistics (1.0); Philosophy (1.0); Languages and Linguistics (0.67)
lmel-bachelor-of-arts-in-linguistics-and-multilingual-studies-and-english,Bachelor of Arts in Linguistics and Multilingual Studies and English,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/lmel-bachelor-of-arts-in-linguistics-and-multilingual-studies-and-english,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,English|Linguistics,History and Philosophy|Language and Area Studies,1.0,fuzzy,False,English (1.0); Linguistics (1.0); Languages and Linguistics (0.67)
lms-bachelor-of-arts-in-linguistics-and-multilingual-studies,Bachelor of Arts in Linguistics and Multilingual Studies,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/lms-bachelor-of-arts-in-linguistics-and-multilingual-studies,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Linguistics,History and Philosophy|Language and Area Studies,1.0,fuzzy,False,Linguistics (1.0); Languages and Linguistics (0.67); Cultural Studies (0.58)
phil-bachelor-of-arts-in-philosophy,Bachelor of Arts in Philosophy,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/phil-bachelor-of-arts-in-philosophy,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Philosophy,History and Philosophy|Politics and Social Studies,0.95,keyword,False,Philosophy (1.0); Photography (0.67); Psychology (0.5)
pslm-bachelor-of-arts-in-psychology-and-linguistics-and-multilingual-studies,Bachelor of Arts in Psychology and Linguistics and Multilingual Studies,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/pslm-bachelor-of-arts-in-psychology-and-linguistics-and-multilingual-studies,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Psychology,Biological Sciences|Language and Area Studies|Politics and Social Studies,0.95,keyword,False,Linguistics (1.0); Psychology (1.0); Languages and Linguistics (0.67)
plhs-bachelor-of-arts-in-philosophy-and-history,Bachelor of Arts in Philosophy and History,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/plhs-bachelor-of-arts-in-philosophy-and-history,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,History|Philosophy,History and Philosophy|Politics and Social Studies,0.95,keyword,False,"History (1.0); Philosophy (1.0); Philosophy, Politics and Economics (PPE) (0.55)"
plcn-bachelor-of-arts-in-philosophy-and-chinese,Bachelor of Arts in Philosophy and Chinese,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/plcn-bachelor-of-arts-in-philosophy-and-chinese,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Philosophy,History and Philosophy|Language and Area Studies|Politics and Social Studies,0.95,keyword,False,"Philosophy (1.0); Philosophy, Politics and Economics (PPE) (0.58); Hospitality and Tourism (0.53)"
bcg-double-degree-in-bachelor-of-computing-computer-science-and-bachelor-of-business,Double Degree in Bachelor of Computing (Computer Science) and Bachelor of Business,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/bcg-double-degree-in-bachelor-of-computing-computer-science-and-bachelor-of-business,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Business Administration|Computer Science,Business and Economics|Engineering|Mathematics and Computer Science|Politics and Social Studies,0.95,keyword,False,Computer Science (0.55); Business Administration (0.5); International Business (0.5)
bus-bachelor-of-business,Bachelor of Business,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/bus-bachelor-of-business,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Business Administration,Business and Economics|Politics and Social Studies,0.95,keyword,False,Accounting (0.0); Actuarial Science (0.0); Advertising (0.0)
ieec-double-degree-in-bachelor-of-engineering-iem-and-bachelor-of-social-science-economics,Double Degree in Bachelor of Engineering (Iem) and Bachelor of Social Science (Economics),Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/ieec-double-degree-in-bachelor-of-engineering-iem-and-bachelor-of-social-science-economics,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Economics,Business and Economics|Engineering|Mathematics and Computer Science|Politics and Social Studies,0.95,keyword,False,Actuarial Science (0.5); Animal Science (0.5); Computer Science (0.5)
enec-double-degree-in-bachelor-of-engineering-environmental-engineering-and-bachelor-of-social-sciences-in-economics,Double Degree in Bachelor of Engineering (Environmental Engineering) and Bachelor of Social Sciences in Economics,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/enec-double-degree-in-bachelor-of-engineering-environmental-engineering-and-bachelor-of-social-sciences-in-economics,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Climate Change & Sustainability Studies|Economics|Sociology,Business and Economics|Education|Engineering|Mathematics and Computer Science|Physical and Environment Sciences|Politics and Social Studies,0.95,keyword,False,Economics (1.0); Environmental Law (0.5); Environmental Planning (0.5)
eeec-double-degree-in-bachelor-of-engineering-eee-and-bachelor-of-social-science-economics,Double Degree in Bachelor of Engineering (Eee) and Bachelor of Social Science (Economics),Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/eeec-double-degree-in-bachelor-of-engineering-eee-and-bachelor-of-social-science-economics,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Economics,Business and Economics|Engineering|Mathematics and Computer Science|Politics and Social Studies,0.95,keyword,False,Actuarial Science (0.5); Animal Science (0.5); Computer Science (0.5)
bce-double-degree-in-bachelor-of-engineering-computer-engineering-and-bachelor-of-business,Double Degree in Bachelor of Engineering (Computer Engineering) and Bachelor of Business,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/bce-double-degree-in-bachelor-of-engineering-computer-engineering-and-bachelor-of-business,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Business Administration,Business and Economics|Engineering|Politics and Social Studies,0.95,keyword,False,Business Administration (0.5); Computer Science (0.5); International Business (0.5)
cvec-double-degree-in-bachelor-of-engineering-civil-and-bachelor-of-social-sciences-in-economics,Double Degree in Bachelor of Engineering (Civil) and Bachelor of Social Sciences in Economics,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cvec-double-degree-in-bachelor-of-engineering-civil-and-bachelor-of-social-sciences-in-economics,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Civil Engineering|Economics|Sociology,Business and Economics|Education|Engineering|Mathematics and Computer Science|Physical and Environment Sciences|Politics and Social Studies,0.95,keyword,False,Economics (1.0); Natural Sciences (0.5); Social Work (0.5)
beec-double-degree-in-bachelor-of-engineering-bioengineering-and-bachelor-of-social-sciences-in-economics,Double Degree in Bachelor of Engineering (Bioengineering) and Bachelor of Social Sciences in Economics,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/beec-double-degree-in-bachelor-of-engineering-bioengineering-and-bachelor-of-social-sciences-in-economics,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Biomedical Engineering|Economics|Sociology,Business and Economics|Education|Engineering|Mathematics and Computer Science|Politics and Social Studies,0.95,keyword,False,Economics (1.0); Natural Sciences (0.5); Social Work (0.5)
cmed-bachelor-of-chinese-medicine,Bachelor of Chinese Medicine,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cmed-bachelor-of-chinese-medicine,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Medicine,Biological Sciences|Language and Area Studies|Medicine Sciences,0.95,keyword,False,Accounting (0.0); Actuarial Science (0.0); Advertising (0.0)
csgr-bachelor-of-communciation-studies-with-a-second-major-in-governance-and-international-relations,Bachelor of Communciation Studies With A Second Major in Governance and International Relations,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/csgr-bachelor-of-communciation-studies-with-a-second-major-in-governance-and-international-relations,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,International Relations,Politics and Social Studies,0.95,keyword,False,International Relations (1.0); Urban and Regional Planning (0.58); International Business (0.53)
cs-bachelor-of-communication-studies,Bachelor of Communication Studies,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cs-bachelor-of-communication-studies,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,,Communication,0.5,domain_keyword,True,Accounting (0.0); Actuarial Science (0.0); Advertising (0.0)
csbu-bachelor-of-communication-studies-with-a-second-major-in-business,Bachelor of Communication Studies With A Second Major in Business,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/csbu-bachelor-of-communication-studies-with-a-second-major-in-business,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Business Administration,Business and Economics|Communication|Politics and Social Studies,0.95,keyword,False,International Business (0.53); Nursing (0.53); Business Administration (0.52)
aisc-bachelor-of-computing-in-artificial-intelligence-and-society,Bachelor of Computing in Artificial Intelligence and Society,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/aisc-bachelor-of-computing-in-artificial-intelligence-and-society,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Artificial Intelligence & Machine Learning|Computer Science,Engineering|Mathematics and Computer Science,0.95,keyword,False,Artificial Intelligence & Machine Learning (0.73); Marriage and Family Therapy (0.45); Urban Design and Sustainability (0.45)
csc-bachelor-of-computing-in-computer-science,Bachelor of Computing in Computer Science,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/csc-bachelor-of-computing-in-computer-science,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Computer Science,Engineering|Mathematics and Computer Science,0.95,keyword,False,Computer Science (1.0); Actuarial Science (0.67); Data Science (0.64)
meec-double-degree-in-mechanical-engineering-and-economics,Double Degree in Mechanical Engineering and Economics,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/meec-double-degree-in-mechanical-engineering-and-economics,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Economics|Mechanical Engineering,Business and Economics|Engineering|Mathematics and Computer Science|Physical and Environment Sciences,0.95,keyword,False,Economics (1.0); Mechanical Engineering (1.0); Chemical Engineering (0.64)
rep-renaissance-engineering-programme,Renaissance Engineering Programme,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/rep-renaissance-engineering-programme,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,,Engineering,0.5,domain_keyword,True,Mechanical Engineering (0.58); Hydro Energy Engineering (0.56); Solar Energy Engineering (0.56)
cbet-bachelor-of-engineering-chemical-and-biomolecular-engineering-with-a-second-major-in-entrepreneurship,Bachelor of Engineering  (Chemical and Biomolecular Engineering) With A Second Major in Entrepreneurship,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cbet-bachelor-of-engineering-chemical-and-biomolecular-engineering-with-a-second-major-in-entrepreneurship,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Chemical Engineering|Entrepreneurship,Business and Economics|Engineering|Physical and Environment Sciences|Politics and Social Studies,0.95,keyword,False,Chemical Engineering (0.69); Geothermal Energy Engineering (0.63); Mechanical Engineering (0.6)
aero-bachelor-of-engineering-aerospace-engineering,Bachelor of Engineering (Aerospace Engineering),Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/aero-bachelor-of-engineering-aerospace-engineering,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,,Engineering,0.5,domain_keyword,True,Software Engineering (0.71); Civil Engineering (0.67); Sustainable Engineering (0.67)
asbm-bachelor-of-engineering-aerospace-engineering-with-a-second-major-in-business,Bachelor of Engineering (Aerospace Engineering) With A Second Major in Business,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/asbm-bachelor-of-engineering-aerospace-engineering-with-a-second-major-in-business,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Business Administration,Business and Economics|Engineering|Politics and Social Studies,0.95,keyword,False,Software Engineering (0.71); Civil Engineering (0.67); Sustainable Engineering (0.67)
besust-bachelor-of-engineering-bioengineering-with-a-second-major-in-sustainability,Bachelor of Engineering  (Bioengineering) With A Second Major in Sustainability,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/besust-bachelor-of-engineering-bioengineering-with-a-second-major-in-sustainability,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Biomedical Engineering|Climate Change & Sustainability Studies,Engineering|Physical and Environment Sciences|Politics and Social Studies,0.95,keyword,False,Biomedical Engineering (0.76); Civil Engineering (0.75); Chemical Engineering (0.69)
beda-bachelor-of-engineering-bioengineering-with-a-second-major-in-data-analytics,Bachelor of Engineering  (Bioengineering) With A Second Major in Data Analytics,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/beda-bachelor-of-engineering-bioengineering-with-a-second-major-in-data-analytics,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Biomedical Engineering|Data Science,Engineering|Mathematics and Computer Science|Physical and Environment Sciences,0.95,keyword,False,Biomedical Engineering (0.76); Civil Engineering (0.75); Chemical Engineering (0.69)
beet-bachelor-of-engineering-bioengineering-with-a-second-major-in-entrepreneurship,Bachelor of Engineering  (Bioengineering) With A Second Major in Entrepreneurship,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/beet-bachelor-of-engineering-bioengineering-with-a-second-major-in-entrepreneurship,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Biomedical Engineering|Entrepreneurship,Business and Economics|Engineering|Politics and Social Studies,0.95,keyword,False,Biomedical Engineering (0.76); Civil Engineering (0.75); Chemical Engineering (0.69)
bepe-bachelor-of-engineering-bioengineering-with-a-second-major-in-pharmaceutical-engineering,Bachelor of Engineering  (Bioengineering) With A Second Major in Pharmaceutical Engineering,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/bepe-bachelor-of-engineering-bioengineering-with-a-second-major-in-pharmaceutical-engineering,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Biomedical Engineering,Engineering|Medicine Sciences,0.95,keyword,False,Biomedical Engineering (0.76); Civil Engineering (0.75); Chemical Engineering (0.69)
dsai-bachelor-of-computing-in-data-science-and-artificial-intelligence,Bachelor of Computing in Data Science and Artificial Intelligence,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/dsai-bachelor-of-computing-in-data-science-and-artificial-intelligence,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Artificial Intelligence & Machine Learning|Computer Science|Data Science,Engineering|Mathematics and Computer Science|Physical and Environment Sciences,0.95,keyword,False,Data Science (1.0); Artificial Intelligence & Machine Learning (0.56); Actuarial Science (0.5)
cvsu-bachelor-of-engineering-civil-with-a-second-major-in-society-and-urban-systems,Bachelor of Engineering (Civil) With A Second Major in Society and Urban Systems,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cvsu-bachelor-of-engineering-civil-with-a-second-major-in-society-and-urban-systems,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Civil Engineering,Engineering|Physical and Environment Sciences,0.95,keyword,False,Civil Engineering (0.43); Sociology (0.4); Creative Writing (0.36)
cvsn-bachelor-of-engineering-civil-with-a-second-major-in-sustainability,Bachelor of Engineering (Civil) With A Second Major in Sustainability,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cvsn-bachelor-of-engineering-civil-with-a-second-major-in-sustainability,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Civil Engineering|Climate Change & Sustainability Studies,Engineering|Physical and Environment Sciences|Politics and Social Studies,0.95,keyword,False,Civil Engineering (0.43); Sociology (0.4); Creative Writing (0.36)
eee-bachelor-of-engineering-electrical-and-electronic-engineering,Bachelor of Engineering (Electrical and Electronic Engineering),Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/eee-bachelor-of-engineering-electrical-and-electronic-engineering,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Electrical Engineering,Engineering|Physical and Environment Sciences,0.95,keyword,False,Electrical Engineering (0.73); Geothermal Energy Engineering (0.63); Wind Energy Engineering (0.62)
cbsust-bachelor-of-engineering-chemical-and-biomolecular-engineering-with-a-second-major-in-sustainability,Bachelor of Engineering (Chemical and Biomolecular Engineering) With A Second Major in Sustainability,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cbsust-bachelor-of-engineering-chemical-and-biomolecular-engineering-with-a-second-major-in-sustainability,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Chemical Engineering|Climate Change & Sustainability Studies,Engineering|Physical and Environment Sciences|Politics and Social Studies,0.95,keyword,False,Chemical Engineering (0.69); Geothermal Energy Engineering (0.63); Mechanical Engineering (0.6)
cee-bachelor-of-engineering-civil,Bachelor of Engineering (Civil),Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cee-bachelor-of-engineering-civil,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Civil Engineering,Engineering|Physical and Environment Sciences,0.95,keyword,False,Civil Engineering (0.43); Sociology (0.4); Creative Writing (0.36)
cvbm-bachelor-of-engineering-civil-with-a-second-major-in-business,Bachelor of Engineering (Civil) With A Second Major in Business,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cvbm-bachelor-of-engineering-civil-with-a-second-major-in-business,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Business Administration|Civil Engineering,Business and Economics|Engineering|Physical and Environment Sciences|Politics and Social Studies,0.95,keyword,False,Civil Engineering (0.43); Sociology (0.4); Creative Writing (0.36)
cvda-bachelor-of-engineering-civil-with-a-second-major-in-data-analytics,Bachelor of Engineering (Civil) With A Second Major in Data Analytics,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cvda-bachelor-of-engineering-civil-with-a-second-major-in-data-analytics,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Civil Engineering|Data Science,Engineering|Mathematics and Computer Science|Physical and Environment Sciences,0.95,keyword,False,Civil Engineering (0.43); Sociology (0.4); Creative Writing (0.36)
cvet-bachelor-of-engineering-civil-with-a-second-major-in-entrepreneurship,Bachelor of Engineering (Civil) With A Second Major in Entrepreneurship,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cvet-bachelor-of-engineering-civil-with-a-second-major-in-entrepreneurship,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Civil Engineering|Entrepreneurship,Business and Economics|Engineering|Physical and Environment Sciences|Politics and Social Studies,0.95,keyword,False,Civil Engineering (0.43); Sociology (0.4); Creative Writing (0.36)
aset-bachelor-of-engineering-aerospace-engineering-with-a-second-major-in-entrepreneurship,Bachelor of Engineering (Aerospace Engineering) With A Second Major in Entrepreneurship,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/aset-bachelor-of-engineering-aerospace-engineering-with-a-second-major-in-entrepreneurship,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Entrepreneurship,Business and Economics|Engineering|Politics and Social Studies,0.95,keyword,False,Software Engineering (0.71); Civil Engineering (0.67); Sustainable Engineering (0.67)
assn-bachelor-of-engineering-aerospace-engineering-with-a-second-major-in-sustainability,Bachelor of Engineering (Aerospace Engineering) With A Second Major in Sustainability,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/assn-bachelor-of-engineering-aerospace-engineering-with-a-second-major-in-sustainability,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Climate Change & Sustainability Studies,Engineering|Physical and Environment Sciences|Politics and Social Studies,0.95,keyword,False,Software Engineering (0.71); Civil Engineering (0.67); Sustainable Engineering (0.67)
bie-bachelor-of-engineering-bioengineering,Bachelor of Engineering (Bioengineering),Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/bie-bachelor-of-engineering-bioengineering,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Biomedical Engineering,Engineering,0.95,keyword,False,Biomedical Engineering (0.76); Civil Engineering (0.75); Chemical Engineering (0.69)
asda-bachelor-of-engineering-aerospace-engineering-with-a-second-major-in-data-analytics,Bachelor of Engineering (Aerospace Engineering) With A Second Major in Data Analytics,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/asda-bachelor-of-engineering-aerospace-engineering-with-a-second-major-in-data-analytics,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Data Science,Engineering|Mathematics and Computer Science|Physical and Environment Sciences,0.95,keyword,False,Software Engineering (0.71); Civil Engineering (0.67); Sustainable Engineering (0.67)
bebm-bachelor-of-engineering-bioengineering-with-a-second-major-in-business,Bachelor of Engineering (Bioengineering) With A Second Major in Business,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/bebm-bachelor-of-engineering-bioengineering-with-a-second-major-in-business,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Biomedical Engineering|Business Administration,Business and Economics|Engineering|Politics and Social Studies,0.95,keyword,False,Biomedical Engineering (0.76); Civil Engineering (0.75); Chemical Engineering (0.69)
cbda-bachelor-of-engineering-chemical-and-biomolecular-engineering-with-a-second-major-in-data-analytics,Bachelor of Engineering (Chemical and Biomolecular Engineering) With A Second Major in Data Analytics,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cbda-bachelor-of-engineering-chemical-and-biomolecular-engineering-with-a-second-major-in-data-analytics,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Chemical Engineering|Data Science,Engineering|Mathematics and Computer Science|Physical and Environment Sciences,0.95,keyword,False,Chemical Engineering (0.69); Geothermal Energy Engineering (0.63); Mechanical Engineering (0.6)
cbe-bachelor-of-engineering-chemical-and-biomolecular-engineering,Bachelor of Engineering (Chemical and Biomolecular Engineering),Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/cbe-bachelor-of-engineering-chemical-and-biomolecular-engineering,Bachelor's Degree,,Yes,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Chemical Engineering,Engineering|Physical and Environment Sciences,0.95,keyword,False,Chemical Engineering (0.69); Geothermal Energy Engineering (0.63); Mechanical Engineering (0.6)
beff-bachelor-of-engineering-bioengineering-with-a-second-major-in-future-foods,Bachelor of Engineering (Bioengineering) With A Second Major in Future Foods,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/beff-bachelor-of-engineering-bioengineering-with-a-second-major-in-future-foods,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Biomedical Engineering,Engineering,0.95,keyword,False,Biomedical Engineering (0.76); Civil Engineering (0.75); Chemical Engineering (0.69)
eeda-bachelor-of-engineering-electrical-and-electronic-engineering-with-a-second-major-in-data-analytics,Bachelor of Engineering (Electrical and Electronic Engineering) With A Second Major in Data Analytics,Nanyang Technological University,NTU,university,https://www.moe.gov.sg/coursefinder/coursedetail/eeda-bachelor-of-engineering-electrical-and-electronic-engineering-with-a-second-major-in-data-analytics,Bachelor's Degree,,No,,"GCE A-Level, Diploma, International Baccalaureate, NUS High School Diploma, International Qualifications",,,252universitycourses.html,Data Science|Electrical Engineering,Engineering|Mathematics and Computer Science|Physical and Environment Sciences,0.95,keyword,False,Electrical Engineering (0.73); Geothermal Energy Engineering (0.63); Wind Energy Engineering (0.62)
